id,url,ymurl,source,hascrawled,bz,create_date
7900,http://coop.yzcity.gov.cn,http://coop.yzcity.gov.cn/gxs/0201/201604/5c4ab729094941eb8a0cc4537cf77039.shtml,"
市供销合作联社
_永州市人民政府",false,,2023-10-25T19:48:16
7901,http://jd.yzcity.gov.cn,http://jd.yzcity.gov.cn/jd/0307/201808/a2b0ef001a73464692d0042e3b90a649.shtml,金洞管理区_永州市人民政府,false,,2023-10-25T19:48:19
7935,http://rsj.yzcity.gov.cn,http://rsj.yzcity.gov.cn/12333/0307/201812/42c60e4ea1fb48329f2214d545400b1e.shtml,"
市人力资源和社会保障局
_永州市人民政府",false,,2023-10-25T19:56:21
7938,http://gaj.yzcity.gov.cn,http://gaj.yzcity.gov.cn/gaj/0201/201512/e7613a726fc9442f95de43e2045afa39.shtml,"
市公安局
_永州市人民政府",false,,2023-10-25T19:56:25
7939,http://mzj.yzcity.gov.cn,http://mzj.yzcity.gov.cn/mzj/0304/201609/937e6bfe21954c658c217320f2123786.shtml,"市民政局
_永州市人民政府",false,,2023-10-25T19:56:25
7992,http://www.cili.gov.cn,http://www.cili.gov.cn/c3386/20230605/i779234.html,首页-慈利县人民政府,false,,2023-10-25T19:57:21
8534,http://gl.yangzhou.gov.cn,http://gl.yangzhou.gov.cn/glcgw/gzgg/202306/927a786834d4468bb3a2bd8006b8b83d.shtml,广陵区人民政府,false,,2023-10-25T20:15:17
8582,http://jyj.yzcity.gov.cn,http://jyj.yzcity.gov.cn/jyj/0201/202306/dcf109307b5342aa902ab5f93105449b.shtml,"
市教育局
_永州市人民政府",false,,2023-10-25T20:16:14
8774,https://wjw.shaoyang.gov.cn,https://wjw.shaoyang.gov.cn/sywjw/tzgg/202212/b3b81c55e9214ab784fa5d6f673c3038.shtml,市卫生健康委员会_邵阳市人民政府,false,,2023-10-25T20:23:31
8871,http://www.kmsl.gov.cn,http://www.kmsl.gov.cn/c/2023-06-07/6646277.shtml,石林彝族自治县人民政府,false,,2023-10-25T20:26:21
8946,http://www.emeishan.gov.cn,http://www.emeishan.gov.cn/emss/gsgg/202306/03bbd7c4e1744aaea31d37932d1fd5db.shtml,"
        峨眉山市人民政府
    ",false,,2023-10-25T20:28:57
12605,http://nz.xiangyang.gov.cn,http://nz.xiangyang.gov.cn/zbb/gczb/zbgg/202306/t20230602_3243459.shtml,南漳县人民政府,false,,2023-10-26T09:11:31
13594,http://cgj.yzcity.gov.cn,http://cgj.yzcity.gov.cn/cgj/0201/202304/4ee9a4ea37134daf980c92a17c882181.shtml,"
市城市管理和综合执法局
_永州市人民政府",false,,2023-10-26T11:10:56
